"title","length"
"Amadeus Holy",113
"American Circus",129
"Antitrust Tomatoes",168
"Ark Ridgemont",68
"Barefoot Manchurian",129
"Berets Agent",77
"Bride Intrigue",56
"Bull Shawshank",125
"Caddyshack Jedi",52
"Campus Remember",167
"Casualties Encino",179
"Celebrity Horn",110
"Clueless Bucket",95
"Crow Grease",104
"Dances None",58
"Darko Dorado",130
"Darn Forrester",185
"Devil Desire",87
"Dragon Squad",170
"Dream Pickup",135
"Drifter Commandments",61
"Easy Gladiator",148
"Entrapment Satisfaction",176
"Excitement Eve",51
"Fantasy Troopers",58
"Firehouse Vietnam",103
"Fool Mockingbird",158
"Forrest Sons",63
"Glass Dying",103
"Gosford Donnie",129
"Grail Frankenstein",85
"Handicap Boondock",108
"Hills Neighbors",93
"Kissing Dolls",141
"Lawrence Love",175
"Lord Arizona",108
"Lust Lock",52
"Magnolia Forrester",171
"Midnight Westward",86
"Minds Truman",149
"Mockingbird Hollywood",60
"Montezuma Command",126
"Park Citizen",109
"Patriot Roman",65
"Primary Glass",53
"Quest Mussolini",177
"Rear Trading",97
"Rings Heartbreakers",58
"Rugrats Shakespeare",109
"Shrunk Divine",139
"Side Ark",52
"Sky Miracle",132
"South Wait",143
"Speakeasy Date",165
"Stagecoach Armageddon",112
"Story Side",163
"Suspects Quills",47
"Trip Newton",64
"Truman Crazy",92
"Uprising Uptown",174
"Waterfront Deliverance",61
"Werewolf Lola",79
"Women Dorado",126
"Worst Banger",185
