"title","rental_rate"
"Academy Dinosaur",0.99
"Adaptation Holes",2.99
"Affair Prejudice",2.99
"African Egg",2.99
"Agent Truman",2.99
"Alabama Devil",2.99
"Alamo Videotape",0.99
"Alaska Phantom",0.99
"Date Speed",0.99
"Alice Fantasia",0.99
"Alien Center",2.99
"Alley Evolution",2.99
"Alone Trip",0.99
"Alter Victory",0.99
"Amadeus Holy",0.99
"Amistad Midsummer",2.99
"Anaconda Confessions",0.99
"Analyze Hoosiers",2.99
"Angels Life",2.99
"Annie Identity",0.99
"Anonymous Human",0.99
"Antitrust Tomatoes",2.99
"Anything Savannah",2.99
"Apollo Teen",2.99
"Arabia Dogma",0.99
"Arachnophobia Rollercoaster",2.99
"Argonauts Town",0.99
"Arizona Bang",2.99
"Ark Ridgemont",0.99
"Armageddon Lost",0.99
"Army Flintstones",0.99
"Arsenic Independence",0.99
"Artist Coldblooded",2.99
"Atlantis Cause",2.99
"Badman Dawn",2.99
"Baked Cleopatra",2.99
"Balloon Homeward",2.99
"Ballroom Mockingbird",0.99
"Bang Kwai",2.99
"Banger Pinocchio",0.99
"Barbarella Streetcar",2.99
"Barefoot Manchurian",2.99
"Basic Easy",2.99
"Beach Heartbreakers",2.99
"Bear Graceland",2.99
"Bed Highball",2.99
"Bedazzled Married",0.99
"Beethoven Exorcist",0.99
"Beneath Rush",0.99
"Berets Agent",2.99
"Beverly Outlaw",2.99
"Bill Others",2.99
"Bingo Talented",2.99
"Birdcage Casper",0.99
"Blackout Private",2.99
"Blade Polish",0.99
"Blanket Beverly",2.99
"Blood Argonauts",0.99
"Blues Instinct",2.99
"Bonnie Holocaust",0.99
"Boondock Ballroom",0.99
"Borrowers Bedazzled",0.99
"Boulevard Mob",0.99
"Bound Cheaper",0.99
"Braveheart Human",2.99
"Breaking Home",2.99
"Bride Intrigue",0.99
"Bringing Hysterical",2.99
"Brotherhood Blanket",0.99
"Bugsy Song",2.99
"Bull Shawshank",0.99
"Bulworth Commandments",2.99
"Bunch Minds",2.99
"Butch Panther",0.99
"Butterfly Chocolat",0.99
"Cabin Flash",0.99
"Caddyshack Jedi",0.99
"Camelot Vacation",0.99
"Campus Remember",2.99
"Candidate Perdition",2.99
"Canyon Stock",0.99
"Caper Motions",0.99
"Carol Texas",2.99
"Carrie Bunch",0.99
"Cassidy Wyoming",2.99
"Catch Amistad",0.99
"Cause Date",2.99
"Celebrity Horn",0.99
"Chainsaw Uptown",0.99
"Chance Resurrection",2.99
"Clash Freddy",2.99
"Chaplin License",2.99
"Charade Duffel",2.99
"Chariots Conspiracy",2.99
"Cheaper Clyde",0.99
"Chicken Hellfighters",0.99
"Chill Luck",0.99
"Chitty Lock",2.99
"Chocolat Harry",0.99
"Chocolate Duck",2.99
"Christmas Moonshine",0.99
"Cider Desire",2.99
"Circus Youth",2.99
"Citizen Shrek",0.99
"Cleopatra Devil",0.99
"Clockwork Paradise",0.99
"Clones Pinocchio",2.99
"Club Graffiti",0.99
"Clueless Bucket",2.99
"Clyde Theory",0.99
"Coast Rainbow",0.99
"Core Suit",2.99
"Color Philadelphia",2.99
"Comancheros Enemy",0.99
"Comforts Rush",2.99
"Confused Candles",2.99
"Congeniality Quest",0.99
"Connection Microcosmos",0.99
"Conspiracy Spirit",2.99
"Contact Anonymous",2.99
"Cowboy Doom",2.99
"Craft Outfield",0.99
"Cranes Reservoir",2.99
"Crazy Home",2.99
"Creatures Shakespeare",0.99
"Crooked Frogmen",0.99
"Crossroads Casualties",2.99
"Crow Grease",0.99
"Cruelty Unforgiven",0.99
"Crusade Honey",2.99
"Crystal Breaking",2.99
"Cupboard Sinners",2.99
"Curtain Videotape",0.99
"Cyclone Family",2.99
"Dalmations Sweden",0.99
"Dances None",0.99
"Dancing Fever",0.99
"Dares Pluto",2.99
"Darkness War",2.99
"Deceiver Betrayed",0.99
"Deer Virginian",2.99
"Deliverance Mulholland",0.99
"Desire Alien",2.99
"Destination Jerk",0.99
"Detective Vision",0.99
"Diary Panic",2.99
