"payment_date","sum"
"2007-05-14",514.18
"2007-04-30",5723.89
"2007-04-29",2717.60
"2007-04-28",2622.73
"2007-04-27",2673.57
"2007-04-26",347.21
"2007-04-12",1930.48
"2007-04-11",1940.32
"2007-04-10",1973.18
"2007-04-09",2067.86
"2007-04-08",2227.84
"2007-04-07",1984.28
"2007-04-06",2077.14
"2007-04-05",273.36
"2007-03-23",2342.43
"2007-03-22",2586.79
"2007-03-21",2868.27
"2007-03-20",2669.89
"2007-03-19",2617.69
"2007-03-18",2701.76
"2007-03-17",2442.16
"2007-03-16",299.28
"2007-03-02",2550.05
"2007-03-01",2808.24
"2007-02-21",917.87
"2007-02-20",1219.09
"2007-02-19",1290.90
"2007-02-18",1275.98
"2007-02-17",1188.17
"2007-02-16",1154.18
"2007-02-15",1188.92
"2007-02-14",116.73
