"customer_id","staff_id","sum"
1,2,53.85
1,1,60.85
2,2,67.88
2,1,55.86
3,1,59.88
3,2,70.88
4,2,31.90
4,1,49.88
5,1,63.86
5,2,70.79
6,1,53.85
6,2,30.90
7,1,69.84
7,2,60.88
8,1,57.86
8,2,27.91
9,2,38.92
9,1,39.88
10,1,40.88
10,2,53.88
11,2,45.89
11,1,53.88
12,1,21.92
12,2,71.82
13,2,54.90
13,1,76.83
14,1,55.84
14,2,40.93
15,2,61.86
15,1,72.82
16,2,51.85
16,1,57.90
17,1,32.91
17,2,54.91
18,2,53.86
18,1,24.95
19,1,53.90
19,2,44.92
20,2,67.84
20,1,35.89
21,2,65.84
21,1,80.84
22,2,14.96
22,1,79.85
23,1,43.89
23,2,62.84
24,2,50.89
24,1,34.88
25,2,37.90
25,1,66.83
26,2,44.89
26,1,101.79
27,1,65.85
27,2,57.85
28,1,49.87
28,2,55.83
29,2,62.85
29,1,75.80
30,1,66.82
30,2,56.84
31,1,31.90
31,2,72.84
32,1,56.87
32,2,55.87
33,2,20.95
33,1,67.85
34,1,42.87
34,2,46.89
35,2,25.92
35,1,92.78
36,2,49.85
36,1,40.90
37,1,53.89
37,2,37.90
38,1,61.84
38,2,65.82
39,1,60.87
39,2,80.84
40,1,53.87
40,2,51.87
41,1,50.88
41,2,67.87
42,1,62.84
42,2,48.87
43,2,46.88
43,1,42.90
44,1,44.90
44,2,56.89
45,2,39.90
45,1,84.84
46,2,83.83
46,1,47.86
47,1,35.91
47,2,56.90
48,1,24.95
48,2,42.91
49,1,50.88
49,2,65.88
50,1,58.88
50,2,85.82
51,2,43.90
51,1,79.80
52,2,57.85
52,1,48.87
53,2,36.88
53,1,51.88
54,2,46.89
54,1,67.85
55,2,38.91
55,1,45.90
56,1,57.87
56,2,57.87
57,1,29.89
57,2,69.85
58,2,44.89
58,1,60.87
59,2,50.90
59,1,68.86
60,1,55.86
60,2,32.92
61,1,25.94
61,2,31.93
62,1,30.90
62,2,47.89
63,2,51.87
63,1,60.88
64,2,41.85
64,1,49.85
65,2,34.91
65,1,62.89
66,2,56.86
66,1,82.81
67,2,41.88
67,1,44.92
68,2,58.88
68,1,35.90
69,1,53.87
69,2,35.90
70,2,24.94
70,1,50.89
71,2,43.88
71,1,72.84
72,2,59.84
72,1,28.89
73,2,38.90
73,1,50.88
74,1,33.90
74,2,62.84
75,2,66.81
75,1,82.80
76,1,22.95
76,2,51.84
77,2,53.87
77,1,31.90
78,2,85.82
78,1,55.87
79,1,31.90
79,2,41.91
80,1,76.85
80,2,60.85
81,1,51.87
81,2,40.92
82,2,58.87
82,1,59.89
83,2,61.87
83,1,34.91
84,1,47.90
84,2,80.80
85,2,30.91
85,1,41.88
86,1,63.86
86,2,82.82
87,1,62.85
87,2,74.87
88,1,60.87
88,2,23.93
89,1,61.85
89,2,62.86
90,1,50.88
90,2,59.84
91,2,52.82
91,1,54.84
92,2,69.88
92,1,52.86
93,2,39.91
93,1,36.89
94,2,28.91
94,1,42.90
95,2,39.90
95,1,32.93
96,2,47.89
96,1,57.84
97,1,19.92
97,2,38.90
98,1,44.89
98,2,57.87
99,2,62.87
99,1,27.90
100,1,42.89
100,2,58.88
101,2,59.85
101,1,26.92
102,1,59.88
102,2,69.82
103,2,85.85
103,1,42.86
104,2,34.91
104,1,42.87
105,2,69.84
105,1,23.94
106,1,63.87
106,2,31.92
107,2,65.83
107,1,48.89
108,1,52.86
108,2,73.86
109,1,19.94
109,2,59.87
110,1,27.93
110,2,21.95
111,1,24.94
111,2,69.81
112,2,72.85
112,1,56.87
113,2,60.86
113,1,50.87
114,2,61.87
114,1,64.83
115,1,51.88
115,2,34.85
116,2,72.85
116,1,33.89
117,2,18.95
117,1,50.88
118,2,44.91
118,1,31.89
119,1,62.87
119,2,76.82
120,2,65.84
120,1,68.86
121,2,65.85
121,1,38.90
122,1,46.86
122,2,73.84
123,2,51.89
123,1,45.88
124,1,29.94
124,2,27.92
125,1,86.80
125,2,44.89
126,2,49.88
126,1,52.87
127,2,47.89
127,1,57.89
128,2,69.82
128,1,48.88
129,2,64.84
129,1,59.82
130,1,41.89
130,2,45.89
131,2,31.91
131,1,80.82
132,1,62.84
132,2,32.88
133,2,46.87
133,1,41.88
134,1,45.92
134,2,31.89
135,1,52.83
135,2,47.89
136,1,27.94
136,2,31.92
137,1,112.78
137,2,78.84
138,2,36.89
138,1,69.79
139,2,53.87
139,1,59.86
140,2,23.95
140,1,59.87
141,1,65.82
141,2,61.87
142,2,37.90
142,1,36.87
143,1,50.88
143,2,32.92
144,1,89.79
144,2,99.81
145,1,34.91
145,2,72.82
146,2,51.89
146,1,74.84
147,1,46.88
147,2,78.80
148,2,110.78
148,1,100.77
149,1,62.86
149,2,53.89
150,2,59.87
150,1,34.91
151,2,30.88
151,1,50.87
152,2,23.93
152,1,49.88
153,2,45.90
153,1,48.86
154,1,59.84
154,2,50.89
155,2,43.90
155,1,62.86
156,1,32.91
156,2,56.86
157,1,63.84
157,2,43.87
158,1,63.82
158,2,51.88
159,2,40.90
159,1,17.93
160,1,54.87
160,2,51.86
161,2,36.90
161,1,57.86
162,1,31.91
162,2,27.92
163,2,80.82
163,1,41.89
164,1,29.94
164,2,34.91
165,1,31.91
165,2,49.89
166,2,61.86
166,1,59.87
167,1,59.84
167,2,48.87
168,2,56.85
168,1,72.83
169,2,50.88
169,1,35.92
170,1,44.91
170,2,64.86
171,1,36.91
171,2,67.84
172,1,54.86
172,2,78.84
173,1,56.88
173,2,54.85
174,2,35.93
174,1,45.88
175,2,63.87
175,1,34.89
176,2,39.90
176,1,111.78
177,1,31.88
177,2,39.89
178,2,85.80
178,1,108.81
179,1,77.83
179,2,42.91
180,2,30.92
180,1,64.86
181,2,82.82
181,1,84.85
182,1,55.86
182,2,36.90
183,1,34.91
183,2,40.87
184,2,50.90
184,1,29.90
185,2,19.93
185,1,59.87
186,2,49.87
186,1,61.84
187,2,110.81
187,1,40.92
188,1,25.93
188,2,66.82
189,2,31.92
189,1,55.87
190,1,43.89
190,2,58.86
191,2,23.93
191,1,42.89
192,1,59.88
192,2,37.90
193,1,53.88
193,2,51.89
194,1,36.91
194,2,37.93
195,2,48.89
195,1,37.92
196,2,69.81
196,1,58.88
197,2,62.85
197,1,70.83
198,2,43.86
198,1,80.82
199,1,46.87
199,2,48.89
200,2,53.88
200,1,72.86
201,2,64.86
201,1,26.92
202,2,48.89
202,1,54.85
203,1,25.93
203,2,61.88
204,2,64.84
204,1,69.85
205,2,48.91
205,1,31.91
206,1,49.90
206,2,76.83
207,2,84.82
207,1,34.90
208,2,48.87
208,1,37.88
209,1,66.85
209,2,80.86
210,2,87.80
210,1,46.90
211,2,108.77
211,1,37.90
212,2,60.87
212,1,30.93
213,2,61.85
213,1,48.88
214,2,71.83
214,1,31.91
215,2,63.84
215,1,17.92
216,1,37.89
216,2,52.89
217,1,44.90
217,2,41.89
218,2,40.91
218,1,26.91
219,2,49.86
219,1,50.89
220,2,69.86
220,1,39.89
221,1,83.84
221,2,43.89
222,2,47.90
222,1,23.94
223,2,42.92
223,1,34.92
224,2,36.90
224,1,39.88
225,1,53.90
225,2,57.86
226,2,20.94
226,1,66.85
227,2,39.88
227,1,38.90
228,1,37.89
228,2,48.86
229,2,49.85
229,1,43.90
230,2,68.82
230,1,49.87
231,1,44.87
231,2,43.90
232,1,33.93
232,2,52.84
233,1,50.88
233,2,38.89
234,1,40.89
234,2,65.86
235,1,48.89
235,2,40.88
236,1,71.81
236,2,94.80
237,1,38.89
237,2,99.80
238,1,63.86
238,2,22.95
239,1,54.85
239,2,53.87
240,1,51.90
240,2,54.87
241,2,54.85
241,1,55.83
242,1,67.86
242,2,60.85
243,2,44.88
243,1,32.89
244,2,58.83
244,1,63.87
245,1,68.84
245,2,34.90
246,1,43.91
246,2,32.91
247,1,64.87
247,2,23.94
248,1,10.94
248,2,26.93
249,1,51.90
249,2,36.91
250,2,22.95
250,1,31.90
251,1,32.90
251,2,67.85
252,1,30.91
252,2,27.89
253,2,72.83
253,1,43.91
254,1,61.83
254,2,45.87
255,2,35.92
255,1,34.90
256,1,39.90
256,2,57.85
257,2,84.81
257,1,57.85
258,1,52.89
258,2,57.87
259,2,86.83
259,1,67.87
260,2,45.87
260,1,67.83
261,2,42.90
261,1,47.88
262,2,50.89
262,1,63.84
263,1,43.88
263,2,72.85
264,2,18.92
264,1,79.83
265,2,78.85
265,1,53.87
266,1,65.85
266,2,47.89
267,2,69.84
267,1,72.83
268,2,78.84
268,1,17.95
269,1,61.87
269,2,34.92
270,1,42.89
270,2,32.92
271,2,23.94
271,1,32.90
272,2,50.91
272,1,14.96
273,2,49.87
273,1,80.85
274,2,63.86
274,1,52.87
275,2,58.84
275,1,33.91
276,2,54.87
276,1,39.90
277,2,59.86
277,1,48.90
278,2,30.91
278,1,40.88
279,1,68.86
279,2,45.90
280,1,63.87
280,2,39.90
281,1,9.96
281,2,22.94
282,2,52.87
282,1,26.93
283,1,35.89
283,2,32.88
284,1,72.85
284,2,35.93
285,2,42.90
285,1,74.87
286,2,55.88
286,1,40.88
287,2,53.84
287,1,26.94
288,2,22.90
288,1,29.91
289,2,79.84
289,1,24.92
290,1,39.89
290,2,40.89
291,2,46.89
291,1,26.94
292,2,24.93
292,1,77.85
293,2,45.90
293,1,61.89
294,1,45.91
294,2,59.86
295,1,65.87
295,2,59.85
296,2,55.88
296,1,47.89
297,2,35.89
297,1,63.85
298,2,35.89
298,1,42.90
299,2,35.91
299,1,48.88
300,2,40.90
300,1,82.84
301,2,50.89
301,1,20.96
302,1,59.89
302,2,53.85
303,1,36.91
303,2,33.90
304,2,33.92
304,1,45.89
305,1,37.93
305,2,49.87
306,2,60.86
306,1,58.86
307,1,68.84
307,2,23.96
308,1,57.88
308,2,23.93
309,1,37.89
309,2,75.86
310,2,33.94
310,1,34.93
311,1,26.95
311,2,53.90
312,1,65.85
312,2,15.95
313,2,44.89
313,1,18.95
314,1,33.89
314,2,79.82
315,2,33.93
315,1,33.93
316,1,37.91
316,2,42.90
317,2,34.91
317,1,61.85
318,2,9.97
318,1,17.96
319,1,50.90
319,2,42.89
320,1,5.96
320,2,41.89
321,2,53.91
321,1,39.92
322,2,40.90
322,1,40.91
323,2,44.89
323,1,46.86
324,2,41.90
324,1,53.88
325,2,45.88
325,1,26.94
326,1,28.94
326,2,35.88
327,2,25.94
327,1,48.87
328,2,23.94
328,1,41.89
329,2,36.89
329,1,61.88
330,2,31.91
330,1,28.91
331,2,35.94
331,1,69.84
332,2,65.85
332,1,41.89
333,2,55.86
333,1,33.92
334,1,61.85
334,2,46.90
335,2,28.90
335,1,44.88
336,1,34.93
336,2,58.85
337,1,51.88
337,2,59.88
338,2,44.90
338,1,33.90
339,1,43.87
339,2,51.89
340,2,38.89
340,1,44.88
341,1,41.92
341,2,61.86
342,1,50.85
342,2,79.83
343,2,62.86
343,1,43.91
344,1,12.95
344,2,51.89
345,2,52.88
345,1,51.91
346,2,79.83
346,1,65.87
347,1,58.88
347,2,83.82
348,2,81.79
348,1,62.87
349,1,70.83
349,2,62.89
350,2,41.89
350,1,21.90
351,2,44.89
351,1,42.88
352,2,33.92
352,1,62.86
353,2,47.88
353,1,17.95
354,2,43.86
354,1,81.81
355,2,31.91
355,1,36.90
356,2,62.88
356,1,53.83
357,1,40.88
357,2,39.89
358,1,56.85
358,2,18.95
359,1,38.88
359,2,46.90
360,2,79.83
360,1,64.85
361,1,36.86
361,2,52.85
362,2,59.87
362,1,80.82
363,1,68.88
363,2,70.84
364,1,36.90
364,2,52.88
365,2,36.91
365,1,55.88
366,1,87.80
366,2,57.84
367,1,47.91
367,2,49.89
368,1,74.83
368,2,64.86
369,1,26.90
369,2,42.89
370,1,35.91
370,2,34.90
371,1,75.81
371,2,47.90
372,1,66.81
372,2,85.87
373,2,66.85
373,1,89.81
374,2,65.84
374,1,32.91
375,1,55.88
375,2,32.92
376,1,79.80
376,2,29.93
377,1,50.84
377,2,42.90
378,2,32.92
378,1,37.90
379,1,64.86
379,2,31.93
380,2,40.87
380,1,91.78
381,1,35.88
381,2,63.80
382,1,43.90
382,2,41.88
383,1,55.86
383,2,37.89
384,2,44.86
384,1,32.93
385,2,35.93
385,1,57.83
386,2,52.88
386,1,56.84
387,1,30.91
387,2,48.87
388,2,76.81
388,1,37.91
389,1,71.85
389,2,47.90
390,1,72.84
390,2,69.85
391,1,51.84
391,2,27.91
392,2,55.87
392,1,35.90
393,2,68.82
393,1,46.89
394,2,39.90
394,1,37.90
395,2,11.95
395,1,45.86
396,2,78.81
396,1,26.93
397,1,48.88
397,2,55.84
398,1,26.94
398,2,46.91
399,1,26.93
399,2,46.89
400,2,69.85
400,1,35.91
401,1,32.89
401,2,29.92
402,1,19.95
402,2,57.86
403,1,80.84
403,2,81.83
404,1,78.82
404,2,54.89
405,2,44.88
405,1,56.82
406,1,53.88
406,2,67.81
407,1,50.87
407,2,53.87
408,1,41.89
408,2,61.84
409,1,47.89
409,2,49.89
410,2,65.86
410,1,101.76
411,1,31.89
411,2,41.87
412,2,28.93
412,1,45.90
413,1,31.90
413,2,33.91
414,2,32.91
414,1,63.86
415,1,34.91
415,2,53.87
416,2,34.89
416,1,78.83
417,2,27.92
417,1,63.86
418,1,50.83
418,2,56.87
419,2,36.89
419,1,49.87
420,1,22.93
420,2,51.87
421,1,70.86
421,2,46.89
422,1,48.89
422,2,47.86
423,1,59.86
423,2,60.88
424,1,47.89
424,2,61.82
425,1,48.87
425,2,49.88
426,2,56.88
426,1,68.86
427,1,60.87
427,2,46.90
428,2,25.92
428,1,47.89
429,2,59.89
429,1,18.95
430,2,17.92
430,1,53.88
431,2,52.88
431,1,39.90
432,2,40.90
