"y","m","d","count"
NULL,NULL,NULL,16044
2005,7,9,513
2005,6,18,344
2005,8,18,621
2005,5,25,137
2005,6,17,325
2005,8,1,671
2005,6,14,16
2005,5,30,158
2005,8,16,23
2005,7,29,641
2005,7,11,461
2005,5,31,163
2005,7,10,480
2005,8,21,659
2005,7,8,512
2005,5,26,174
2005,7,5,27
2005,6,21,275
2005,7,26,33
2005,6,19,348
2005,8,22,626
2005,7,7,461
2005,7,31,679
2005,5,29,154
2005,7,30,634
2005,8,23,598
2005,8,20,624
2005,7,28,620
2005,5,28,196
2005,5,24,8
2005,7,12,495
2005,7,27,649
2005,5,27,166
2005,6,16,324
2005,6,20,331
2005,7,6,504
2005,6,15,348
2005,8,19,628
2005,8,2,643
2006,2,14,182
2005,8,17,593
2005,7,NULL,6709
2005,8,NULL,5686
2005,5,NULL,1156
2005,6,NULL,2311
2006,2,NULL,182
2006,NULL,NULL,182
2005,NULL,NULL,15862
