"film_id","title","inventory_id"
14,"Alice Fantasia",NULL
33,"Apollo Teen",NULL
36,"Argonauts Town",NULL
38,"Ark Ridgemont",NULL
41,"Arsenic Independence",NULL
87,"Boondock Ballroom",NULL
108,"Butch Panther",NULL
128,"Catch Amistad",NULL
144,"Chinatown Gladiator",NULL
148,"Chocolate Duck",NULL
171,"Commandments Express",NULL
192,"Crossing Divorce",NULL
195,"Crowds Telemark",NULL
198,"Crystal Breaking",NULL
217,"Dazed Punk",NULL
221,"Deliverance Mulholland",NULL
318,"Firehouse Vietnam",NULL
325,"Floats Garden",NULL
332,"Frankenstein Stranger",NULL
359,"Gladiator Westward",NULL
386,"Gump Date",NULL
404,"Hate Handicap",NULL
419,"Hocus Frida",NULL
495,"Kentuckian Giant",NULL
497,"Kill Brotherhood",NULL
607,"Muppet Mile",NULL
642,"Order Betrayed",NULL
669,"Pearl Destiny",NULL
671,"Perdition Fargo",NULL
701,"Psycho Shrunk",NULL
712,"Raiders Antitrust",NULL
713,"Rainbow Shock",NULL
742,"Roof Champion",NULL
801,"Sister Freddy",NULL
802,"Sky Miracle",NULL
860,"Suicides Silence",NULL
874,"Tadpole Park",NULL
909,"Treasure Command",NULL
943,"Villain Desperate",NULL
950,"Volume House",NULL
954,"Wake Jaws",NULL
955,"Walls Artist",NULL
