"id","name","price","net_price","segment_id"
1,"diam",804.89,764.65,1
2,"vestibulum aliquet",228.55,205.70,3
3,"lacinia erat",366.45,344.46,2
4,"scelerisque quam turpis",145.33,130.80,3
5,"justo lacinia",551.77,518.66,2
6,"ultrices mattis odio",261.58,235.42,3
7,"hendrerit",519.62,488.44,2
8,"in hac habitasse",843.31,801.14,1
9,"orci eget orci",254.18,228.76,3
10,"pellentesque",427.78,402.11,2
11,"sit amet nunc",936.29,889.48,1
12,"sed vestibulum",910.34,864.82,1
13,"turpis eget",208.33,187.50,3
14,"cursus vestibulum",985.45,936.18,1
15,"orci nullam",841.26,799.20,1
16,"est quam pharetra",896.38,851.56,1
17,"posuere",575.74,541.20,2
18,"ligula",530.64,498.80,2
19,"convallis",892.43,847.81,1
20,"nulla elit ac",161.71,145.54,3
